,City,Population(2011)[3],Population(2001)[3][a],State or unionterritory,Ref
0,Mumbai,"1,24,42,373","1,19,78,450",Maharashtra,[3]
1,Delhi,"1,10,34,555","98,79,172",Delhi,[3]
2,Bangalore,"84,43,675","56,82,293",Karnataka,[3]
3,Hyderabad,"69,93,262","54,96,960",Telangana,[3]
4,Ahmedabad,"55,77,940","44,70,006",Gujarat,[3]
5,Chennai,"46,46,732","43,43,645",Tamil Nadu,[3]
6,Kolkata,"44,96,694","45,80,546",West Bengal,[3]
7,Surat,"44,67,797","27,88,126",Gujarat,[3]
8,Pune,"31,24,458","25,38,473",Maharashtra,[3]
9,Jaipur,"30,46,163","23,22,575",Rajasthan,[3]
10,Lucknow,"28,17,105","21,85,927",Uttar Pradesh,[3]
11,Kanpur,"27,65,348","25,51,337",Uttar Pradesh,[3]
12,Nagpur,"24,05,665","20,52,066",Maharashtra,[3]
13,Indore,"19,64,086","15,03,237",Madhya Pradesh,[3]
14,Thane,"18,41,488","12,62,551",Maharashtra,[3]
15,Bhopal,"17,98,218","14,58,416",Madhya Pradesh,[3]
16,Visakhapatnam,"17,28,128","13,45,938",Andhra Pradesh,[3][b]
17,Pimpri-Chinchwad,"17,27,692","10,20,448",Maharashtra,[3]
18,Patna,"16,84,222","14,31,477",Bihar,[3]
19,Vadodara,"16,70,806","13,38,244",Gujarat,[3]
20,Ghaziabad,"16,48,643","9,68,256",Uttar Pradesh,[3]
21,Ludhiana,"16,18,879","13,98,467",Punjab,[3]
22,Agra,"15,85,704","12,75,134",Uttar Pradesh,[3]
23,Nashik,"14,86,053","10,77,236",Maharashtra,[3]
24,Faridabad,"14,14,050","10,55,938",Haryana,[3]
25,Meerut,"13,05,429","10,68,772",Uttar Pradesh,[3]
26,Rajkot,"12,86,678","9,67,476",Gujarat,[3]
27,Kalyan-Dombivali,"12,47,327","11,93,512",Maharashtra,[3]
28,Vasai-Virar,"12,22,390","5,18,601",Maharashtra,[3]
29,Varanasi,"11,98,491","11,03,952",Uttar Pradesh,[3]
30,Srinagar,"11,80,570","9,35,764",Jammu and Kashmir,[3]
31,Aurangabad,"11,75,116","8,73,311",Maharashtra,[3]
32,Dhanbad,"11,62,472","10,31,523",Jharkhand,[3]
33,Amritsar,"11,32,383","9,79,801",Punjab,[3]
34,Navi Mumbai,"11,20,547","7,04,002",Maharashtra,[3]
35,Prayagraj,"11,12,544","9,75,393",Uttar Pradesh,[3]
36,Howrah,"10,77,075","10,07,532",West Bengal,[3]
37,Ranchi,"10,73,427","8,47,093",Jharkhand,[3]
38,Jabalpur,"10,55,525","9,51,472",Madhya Pradesh,[3]
39,Gwalior,"10,54,420","8,27,026",Madhya Pradesh,[3]
40,Coimbatore,"10,50,721","9,30,882",Tamil Nadu,[3]
41,Vijayawada,"10,34,358","9,41,760",Andhra Pradesh,[3]
42,Jodhpur,"10,33,756","8,56,525",Rajasthan,[3]
43,Madurai,"10,17,865","9,28,869",Tamil Nadu,[3]
44,Raipur,"10,10,433","7,07,469",Chhattisgarh,[3]
45,Kota,"10,01,694","7,03,150",Rajasthan,[3]
